#,PMID,Title,Reviewer1_Decision,Reviewer1_Notes,Reviewer2_Decision,Reviewer2_Notes
1,1002505,[Indications for the reconstruction of the unstable thorax due to serial rib  fr,,,,
2,10215225,Bioabsorbable poly-L-lactide costal coaptation pins and their clinical  applicat,,,,
3,10353551,Pancreatic trauma: Universities of Melbourne HPB Group.,,,,
4,10443524,Non-penetrating subclavian artery trauma: management by selective transluminally,,,,
5,10697096,Painful nonunion of multiple rib fractures managed by operative stabilization.,,,,
6,10870371,Bladder entrapment after external fixation of traumatic pubic diastasis:  import,,,,
7,10917472,Nonsurgical management of solid abdominal organ injury in patients over 55 years,,,,
8,1100923,Operative stabilization of nonpenetrating chest injuries.,,,,
9,1105874,Surgical stabilization of traumatic flail chest.,,,,
10,11198758,Management of flail chest.,,,,
11,11284275,[Triple fracture of the superior shoulder suspensory complex].,,,,
12,11340704,[Acute traumatic rupture of the thoracic aorta and its branches. Results of  sur,,,,
13,11505635,Flail chest stabilization with palacos prosthesis.,,,,
14,11509269,Pulmonary function testing after operative stabilisation of the chest wall for  ,,,,
15,11515905,Operative stabilization of a flail chest six years after injury.,,,,
16,11587704,Operative stabilisation of painful non-united multiple rib fractures.,,,,
17,11820411,Assessing the severity of truncal gunshot wounds: a nation-wide analysis from  F,,,,
18,11956391,Surgical stabilization of internal pneumatic stabilization? A prospective  rando,,,,
19,11990843,Traumatic thoracic spinal fracture dislocation with minimal or no cord injury.  ,,,,
20,12030045,[Early surgical stabilization of the thorax].,,,,
21,12103366,Transcutaneous electrical nerve stimulation for pain management in patients with,,,,
22,1222462,[Flail chest in a child. Cure by the combination of osteosynthesis and continuou,,,,
23,12238872,Traumatic extrathoracic lung herniation.,,,,
24,1235693,[Surgical treatment of fractures in persons with multiple injuries].,,,,
25,1235711,[Multiple injuries at the surgical department of the military hospital Meljina i,,,,
26,1270498,The management of thoracic and thoraco-lumbar injuries of the spine with  neurol,,,,
27,1285977,[Diagnosis and treatment of complex closed chest injuries].,,,,
28,12950135,Acute myocardial infarction caused by coronary artery dissection following blunt,,,,
29,13523170,Stove-in chest; a new method of internal fixation.,,,,
30,14435553,[Severe thoracic injury. Costal break: immediate osteosynthesis. Recovery].,,,,
31,14446398,[Experimental principles of the treatment of rib fractures in radiation sickness,,,,
32,14510113,Penetrating chest injuries in civilian practice.,,,,
33,14569483,[Clinical results of four hundred and twenty-four cases with chest trauma].,,,,
34,14569484,[Chest trauma: analysis of 592 cases].,,,,
35,14608152,Absorbable plates for rib fracture repair: preliminary experience.,,,,
36,14743032,Intrathoracic humeral head fracture-dislocation.,,,,
37,14977734,Open fixation in flail chest: review of 64 patients.,,,,
38,15074182,[Successful conservative management in two patients with a tracheobronchial  rup,,,,
39,15103568,[Flail chest due to blunt trauma: clinical features and factors affecting  progn,,,,
40,15353456,Factors affecting early exsanguination and death in blunt thoracic aortic trauma,,,,
41,15370594,Early intramedullary nailing of lower extremity fracture and respiratory functio,,,,
42,15581318,"Surgical repair of rib fractures in 14 neonatal foals: case selection, surgical ",,,,
43,15628710,Achalasia presenting after operative and nonoperative trauma.,,,,
44,15674171,Operative chest wall fixation with osteosynthesis plates.,,,,
45,15919275,Successful conservative management in iatrogenic tracheobronchial injury.,,,,
46,1616723,Blunt chest injuries in 1696 patients.,,,,
47,16212597,Multiple rib fracture in a neonatal foal using a nylon strand suture repair  tec,,,,
48,16214360,New insights into the pathophysiology of flail segment: the implications of  ant,,,,
49,16308678,"[Elastic, stable intramedullary nailing in midclavicular fractures--a change in ",,,,
50,16322967,[Does timing of thoracic spine stabilization influence perioperative lung  funct,,,,
