Database,Date Run,Search String,Hits,After Dedup,Notes
PubMed (Primary),2026-05-14,"Rib fractures + elderly + treatment",482,,"Primary search - exported to search/pubmed-results.medline"
PubMed (Supplementary),2026-05-14,"SSRF all ages (no age filter)",979,650,"Captures SSRF papers with potential elderly subgroup data - exported to search/pubmed-ssrf-all-ages.medline"
Combined Total,,,1461,1132,"482 primary + 979 SSRF = 1461 raw, 1132 unique after dedup"
Cochrane CENTRAL,TBD,"Rib fractures + elderly + treatment",TBD,TBD,"Manual search via cochranelibrary.com"
Scopus/EMBASE,TBD,"Rib fractures + elderly + treatment",TBD,TBD,"Alternative to EMBASE"
ClinicalTrials.gov,TBD,"rib fracture AND (surgical stabilization OR SSRF)",TBD,TBD,"Grey literature"
Supplementary Tools,,,," "
Consensus.app,2026-05-14,"Aggregates PubMed/SS/OpenAlex",N/A,N/A,"Search via web interface - content already indexed in PubMed"
SciSpace,2026-05-14,"Aggregates 280M+ papers",N/A,N/A,"Search via web interface - content already indexed in PubMed"
Semantic Scholar,2026-05-14,"SSRF in elderly",~50,~48,"API rate-limited; PMIDs overlap with PubMed search"
